ID,NOM_TL,ADRESSE,CP,COMINIT,INSEECOM,NOMCOM,WEB,TWITTER,FACEBOOK,TYPO,LAT,LONG,GEOCOD,PRECISION,CONTACT,MAIL,METRO,NOMMETRO,INSEEREG,NOMREG,INSEEMETRO,INSEEDEP,NOMCOMMETRO,POPCOM,COMCLASS,INSEE_ZE,NOM_ZE,CLASS_ZE,POP_ZE
1271,LabFab Utice,263 avenue du Général Leclerc,35000,Rennes - Université Rennes 1,35238,Rennes,http://www.labfab.fr/utice/,,,Tiers lieux à dominante fablab,48.11635,-1.638389,263 Avenue Général Leclerc 35700 Rennes,0.56,,,1,Rennes Métropole,53,Bretagne,35238,35,Rennes,213454,100000 et plus,5312,RENNES,500 000-6 000 000,801211
1272,LabFab Téléfab,Université de Rennes 1 - Campus de Beaulieu,35510,Cesson-Sévigné,35051,Cesson-Sévigné,http://telefab.fr/,,,Tiers lieux à dominante fablab,48.113719,-1.620191,Rue de Rennes 35510 Cesson-Sévigné,0.47,,,1,Rennes Métropole,53,Bretagne,35051,35,Cesson-Sévigné,17233,5000-20000,5312,RENNES,500 000-6 000 000,801211
1273,LabFab UR1,Université Rennes 1 - Campus de Beaulieu Bat.11C,35510,Cesson-Sévigné,35051,Cesson-Sévigné,https://labfab.univ-rennes1.fr/?page_id=43,,,Tiers lieux à dominante fablab,48.113719,-1.620191,Rue de Rennes 35510 Cesson-Sévigné,0.43,,,1,Rennes Métropole,53,Bretagne,35051,35,Cesson-Sévigné,17233,5000-20000,5312,RENNES,500 000-6 000 000,801211
1274,La Kazlab,Case N°5 Camp de la Transportation,97320,Saint Laurent du Maroni,0,Saint-Laurent-du-Maroni,http://www.manifact.org,,https://www.facebook.com/lakazlab,Tiers lieux à dominante fablab,5.052845,-54.087971,Camp Voltaire 97320 Saint-Laurent-du-Maroni,0.44,,,0,,,,97353,973,,0,,,,50 000-100 000,#N/D
1275,Villette Makerz by Woma,Folie L5 - Parc de la Villette - 211 avenue Jean-Jaurès,75019,PARIS,75119,Paris,http://villettemakerz.com/,https://twitter.com/VMakerz,https://www.facebook.com/VilletteMakerz/,Tiers lieux à dominante fablab,48.888947,2.392436,211 Avenue Jean Jaurès 75019 Paris,0.53,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
1276,LAB01,48 rue Gustave Noblemaire,0,Ambérieu-en-Bugey,01004,Ambérieu-en-Bugey,http://www.lab01.fr,http://twitter.com/lab_o1,https://www.facebook.com/lab01amberieu/,Tiers lieux à dominante fablab,45.954025,5.344821,48 Rue Gustave Noblemaire 01500 Ambérieu-en-Bugey,0.92,,,0,,84,Auvergne et Rhône-Alpes,01004,01,Ambérieu-en-Bugey,14022,5000-20000,8201,AMBÉRIEU-EN-BUGEY,50 000-100 000,98761
1277,blenderlab,6 rue JEanne d'Arc,59000,Lille,59350,Lille,http://www.blenderlab.fr,https://twitter.com/blenderlab_fr,https://www.facebook.com/blenderlab/,Tiers lieux à dominante fablab,50.625859,3.064217,Place Jeanne d'Arc 59000 Lille,0.72,,,1,Métropole Européenne de Lille,32,Hauts-de-France,59350,59,Lille,233897,100000 et plus,3111,LILLE,500 000-6 000 000,805074
1278,Labtop Innovation,Usine Lacroix route de Gaudiès,0,Mazères,09185,Mazères,http://labtop.syv.fr/,https://twitter.com/FablabComminges,,Tiers lieux à dominante fablab,43.245404,1.681219,Route de Gaudies 09270 Mazères,0.62,,,0,,76,Occitanie,09185,09,Mazères,3810,0-5000,7301,FOIX - PAMIERS,100 000-200 000,114344
1279,Fablab Origami,15 Avenue du Père Evariste Huc,82160,Caylus,82038,Caylus,http://lab-origami.fr/,,https://www.facebook.com/fablab.origami/,Tiers lieux à dominante fablab,44.236451,1.772012,15 Avenue du Père Évariste Huc 82160 Caylus,0.93,,,0,,76,Occitanie,82038,82,Caylus,1476,0-5000,7313,MONTAUBAN,200 000-500 000,223099
1280,Livepoint,29 rue des Sablons,75016,Paris,75116,Paris,https://livepoint.groupeonepoint.com/,,,Tiers lieux à dominante fablab,48.864716,2.282725,29 Rue des Sablons 75016 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
